date,home_team,away_team,home_score,away_score,tournament,neutral,target,target_numeric,neutral_numeric,elo_home,elo_away
2000-02-02,Saint Kitts and Nevis,Saint Lucia,0.0,1.0,Friendly,False,AW,0,0,1500.0,1542.471394035391
2000-02-02,South Africa,Algeria,1.0,1.0,African Cup of Nations,True,D,1,1,1529.3249124299562,1500.6192581541156
2000-02-02,Romania,Latvia,2.0,0.0,Cyprus International Tournament,True,HW,2,1,1500.0,1500.0
2000-02-02,Finland,Iceland,0.0,1.0,Nordic Championship,True,AW,0,1,1515.0,1500.0
2000-02-02,DR Congo,Gabon,0.0,0.0,African Cup of Nations,True,D,1,1,1485.0278875785095,1470.0279418374187
2000-02-02,Costa Rica,Chile,1.0,0.0,Friendly,False,HW,2,0,1514.3528000084657,1484.9720581625813
2000-02-02,Armenia,Moldova,2.0,1.0,Cyprus International Tournament,True,HW,2,1,1500.0,1500.0
2000-02-02,Cyprus,Lithuania,2.0,1.0,Cyprus International Tournament,False,HW,2,0,1500.0,1500.0
2000-02-03,Nigeria,Morocco,2.0,0.0,African Cup of Nations,False,HW,2,0,1513.6834088862338,1527.3968177682823
2000-02-03,Tunisia,Congo,1.0,0.0,African Cup of Nations,True,HW,2,1,1485.7441536189858,1486.909111805124
2000-02-04,Norway,Sweden,1.0,1.0,Nordic Championship,True,D,1,1,1500.0,1500.0
2000-02-04,Moldova,Lithuania,2.0,1.0,Cyprus International Tournament,True,HW,2,1,1485.0,1485.0
2000-02-04,Romania,Georgia,1.0,1.0,Cyprus International Tournament,True,D,1,1,1515.0,1500.0
2000-02-04,Faroe Islands,Iceland,2.0,3.0,Nordic Championship,True,AW,0,1,1485.0,1515.6471999915343
2000-02-04,Cyprus,Armenia,3.0,2.0,Cyprus International Tournament,False,HW,2,0,1515.0,1515.0
2000-02-04,Kuwait,Iran,1.0,1.0,Friendly,False,D,1,0,1515.0,1485.6471999915343
2000-02-05,Guatemala,Chile,2.0,1.0,Friendly,False,HW,2,0,1486.2919947606663,1471.237511701016
2000-02-05,Japan,Mexico,0.0,1.0,Lunar New Year Cup,True,AW,0,1,1500.0,1515.0
2000-02-06,Albania,Andorra,3.0,0.0,Malta International Tournament,True,HW,2,1,1500.0,1500.0
2000-02-06,Cameroon,Algeria,2.0,1.0,African Cup of Nations,True,HW,2,1,1499.4625374371128,1501.8557685485864
2000-02-06,Cayman Islands,Jamaica,0.0,0.0,Friendly,False,D,1,0,1500.0,1514.3528000084657
2000-02-06,Cyprus,Romania,3.0,2.0,Cyprus International Tournament,False,HW,2,0,1530.0,1514.3528000084657
2000-02-06,Georgia,Armenia,2.0,1.0,Cyprus International Tournament,True,HW,2,1,1500.6471999915343,1500.0
2000-02-06,Ghana,South Africa,0.0,1.0,African Cup of Nations,False,AW,0,0,1512.4988012278216,1528.0884020354854
2000-02-06,Latvia,Lithuania,1.0,2.0,Cyprus International Tournament,True,AW,0,1,1485.0,1470.0
2000-02-06,Malta,Azerbaijan,3.0,0.0,Malta International Tournament,False,HW,2,0,1515.0,1500.0
2000-02-07,Singapore,Malaysia,3.0,1.0,Friendly,False,HW,2,0,1500.0,1500.0
2000-02-07,Egypt,Tunisia,0.0,1.0,African Cup of Nations,True,AW,0,1,1528.8849314729816,1500.7944487183765
2000-02-07,Nigeria,Senegal,2.0,1.0,African Cup of Nations,False,HW,2,0,1529.275157075153,1499.2751405683725
2000-02-08,Albania,Azerbaijan,1.0,0.0,Malta International Tournament,True,HW,2,1,1515.0,1485.6471999915343
2000-02-08,Malta,Andorra,1.0,1.0,Malta International Tournament,False,D,1,0,1529.3528000084657,1485.0
2000-02-08,Mexico,Czech Republic,1.0,2.0,Lunar New Year Cup,True,AW,0,1,1529.3528000084657,1500.0
2000-02-08,Syria,North Korea,5.0,1.0,Friendly,False,HW,2,0,1485.0,1500.0
2000-02-09,Bulgaria,Slovakia,1.0,0.0,Friendly,True,HW,2,1,1500.0,1500.0
2000-02-09,Cayman Islands,Jamaica,0.0,1.0,Friendly,False,AW,0,0,1500.6193079298398,1513.7334920786259
2000-02-09,Chile,Australia,2.0,1.0,Friendly,False,HW,2,0,1456.8870595204341,1500.0
2000-02-09,Honduras,El Salvador,5.0,1.0,Friendly,False,HW,2,0,1500.0,1500.0
2000-02-10,Nepal,Yemen,0.0,3.0,AFC Asian Cup qualification,True,AW,0,1,1500.0,1500.0
2000-02-10,Nigeria,South Africa,2.0,0.0,African Cup of Nations,False,HW,2,0,1542.9831616071187,1542.415796203612
2000-02-10,Malta,Albania,0.0,1.0,Malta International Tournament,False,AW,0,0,1527.448270186602,1528.735744229962
2000-02-10,Hong Kong,Singapore,0.0,0.0,Friendly,False,D,1,0,1500.0,1515.0
2000-02-10,Kuwait,Turkmenistan,6.0,1.0,AFC Asian Cup qualification,False,HW,2,0,1513.735744229962,1500.0
2000-02-10,Cameroon,Tunisia,3.0,0.0,African Cup of Nations,True,HW,2,1,1514.5658598957352,1517.0045766789701
2000-02-10,Andorra,Azerbaijan,0.0,0.0,Malta International Tournament,True,D,1,1,1486.9045298218637,1471.9114557615724
2000-02-12,Australia,Slovakia,0.0,0.0,Friendly,True,D,1,1,1483.148159923278,1485.0
2000-02-12,Chile,Bulgaria,3.0,2.0,Friendly,False,HW,2,0,1473.7388995971562,1515.0
2000-02-12,Colombia,Jamaica,1.0,0.0,Gold Cup,True,HW,2,1,1500.0,1528.1675759707848
2000-02-12,Nepal,Bhutan,3.0,0.0,AFC Asian Cup qualification,True,HW,2,1,1485.0,1500.0
2000-02-12,South Africa,Tunisia,2.0,2.0,African Cup of Nations,True,D,1,1,1527.4402913153456,1501.8992905409968
2000-02-12,United States,Haiti,3.0,0.0,Gold Cup,False,HW,2,0,1514.3807418458844,1500.0
2000-02-12,Yemen,Turkmenistan,0.0,1.0,AFC Asian Cup qualification,True,AW,0,1,1515.0,1485.5927109802356
2000-02-13,Syria,North Korea,0.0,0.0,Friendly,False,D,1,0,1500.6471999915343,1484.3528000084657
2000-02-13,Singapore,Japan,0.0,3.0,AFC Asian Cup qualification,True,AW,0,1,1514.3528000084657,1485.6471999915343
2000-02-13,Nigeria,Cameroon,2.0,2.0,African Cup of Nations,False,D,1,0,1557.9586664953852,1529.6711460337085
2000-02-13,Costa Rica,Canada,2.0,2.0,Gold Cup,True,D,1,1,1528.087346470031,1515.0
2000-02-13,Macau,Brunei,1.0,0.0,AFC Asian Cup qualification,False,HW,2,0,1500.0,1500.0
